,y,rain_intensity,rain_accumulation,temperature,lag_1,lag_8,lag_12,lag_24
215,2,0.0,0.0,30.23,13.0,2.0,8.0,5.0
216,2,0.0,0.0,29.06,2.0,8.0,4.0,4.0
217,1,0.0,0.0,28.79,2.0,26.0,6.0,5.0
218,0,0.0,0.0,29.39,1.0,44.0,4.0,0.0
219,1,0.0,0.0,29.1,0.0,140.0,2.0,0.0
220,0,0.0,0.0,28.78,1.0,143.0,8.0,0.0
221,0,0.0,0.0,28.65,0.0,42.0,26.0,8.0
222,2,0.0,0.0,28.22,0.0,13.0,44.0,0.0
223,0,0.0,0.0,27.93,2.0,2.0,140.0,0.0
224,0,0.0,0.0,29.64,0.0,2.0,143.0,1.0
225,4,0.0,0.0,34.09,0.0,1.0,42.0,3.0
226,10,0.0,0.0,34.32,4.0,0.0,13.0,14.0
227,7,0.0,0.0,34.37,10.0,1.0,2.0,8.0
228,6,0.0,0.0,35.12,7.0,0.0,2.0,4.0
229,4,0.0,0.0,35.34,6.0,0.0,1.0,6.0
230,7,0.0,0.0,35.93,4.0,2.0,0.0,4.0
231,5,0.0,0.0,36.52,7.0,0.0,1.0,2.0
232,6,0.0,0.0,35.34,5.0,0.0,0.0,8.0
233,20,0.0,0.0,35.84,6.0,4.0,0.0,26.0
234,56,0.0,0.0,33.93,20.0,10.0,2.0,44.0
235,148,0.0,0.0,32.37,56.0,7.0,0.0,140.0
236,144,0.0,0.0,31.08,148.0,6.0,0.0,143.0
237,78,0.0,0.0,30.51,144.0,4.0,4.0,42.0
238,34,0.0,0.0,29.86,78.0,7.0,10.0,13.0
239,9,0.0,0.0,29.58,34.0,5.0,7.0,2.0
240,7,0.0,0.0,29.23,9.0,6.0,6.0,2.0
241,4,0.0,0.0,28.74,7.0,20.0,4.0,1.0
242,3,0.0,0.0,28.0,4.0,56.0,7.0,0.0
243,5,0.0,0.0,28.19,3.0,148.0,5.0,1.0
244,2,0.0,0.0,28.32,5.0,144.0,6.0,0.0
245,0,0.0,0.0,28.34,2.0,78.0,20.0,0.0
246,1,0.0,0.0,27.67,0.0,34.0,56.0,2.0
247,2,0.0,0.0,27.67,1.0,9.0,148.0,0.0
248,2,0.0,0.0,29.57,2.0,7.0,144.0,0.0
249,0,0.0,0.0,29.6,2.0,4.0,78.0,4.0
250,1,0.0,0.0,32.2,0.0,3.0,34.0,10.0
251,4,0.0,0.0,32.39,1.0,5.0,9.0,7.0
252,2,0.0,0.0,33.43,4.0,2.0,7.0,6.0
253,10,0.0,0.0,32.79,2.0,0.0,4.0,4.0
254,5,0.0,0.0,32.92,10.0,1.0,3.0,7.0
255,3,0.0,0.0,32.91,5.0,2.0,5.0,5.0
256,12,0.0,0.0,31.87,3.0,2.0,2.0,6.0
257,14,0.0,0.0,31.96,12.0,0.0,0.0,20.0
258,12,0.0,0.0,31.26,14.0,1.0,1.0,56.0
259,52,0.0,0.0,30.88,12.0,4.0,2.0,148.0
260,52,0.0,0.0,30.01,52.0,2.0,2.0,144.0
261,30,0.0,0.0,29.02,52.0,10.0,0.0,78.0
262,14,0.0,0.0,28.48,30.0,5.0,1.0,34.0
263,21,0.0,0.0,28.34,14.0,3.0,4.0,9.0
264,3,0.0,0.0,28.3,21.0,12.0,2.0,7.0
265,3,0.0,0.0,28.37,3.0,14.0,10.0,4.0
266,2,0.0,0.0,27.97,3.0,12.0,5.0,3.0
267,0,0.0,0.0,27.54,2.0,52.0,3.0,5.0
268,0,0.0,0.0,27.53,0.0,52.0,12.0,2.0
269,4,0.0,0.0,27.16,0.0,30.0,14.0,0.0
270,9,0.0,0.0,26.72,4.0,14.0,12.0,1.0
271,2,0.0,0.0,26.97,9.0,21.0,52.0,2.0
272,0,0.0,0.0,27.63,2.0,3.0,52.0,2.0
273,2,0.0,0.0,30.82,0.0,3.0,30.0,0.0
274,7,0.0,0.0,32.95,2.0,2.0,14.0,1.0
275,11,0.0,0.0,34.23,7.0,0.0,21.0,4.0
276,3,0.0,0.0,35.33,11.0,0.0,3.0,2.0
277,2,0.0,0.0,35.85,3.0,4.0,3.0,10.0
278,2,0.0,0.0,36.95,2.0,9.0,2.0,5.0
279,6,0.0,0.0,36.48,2.0,2.0,0.0,3.0
280,12,0.0,0.0,35.57,6.0,0.0,0.0,12.0
281,24,0.0,0.0,35.07,12.0,2.0,4.0,14.0
282,69,0.0,0.0,33.81,24.0,7.0,9.0,12.0
283,179,0.0,0.0,32.97,69.0,11.0,2.0,52.0
284,214,0.0,0.0,32.48,179.0,3.0,0.0,52.0
285,117,0.0,0.0,32.17,214.0,2.0,2.0,30.0
286,66,0.0,0.0,31.58,117.0,2.0,7.0,14.0
287,49,0.0,0.0,30.77,66.0,6.0,11.0,21.0
288,11,0.0,0.0,30.33,49.0,12.0,3.0,3.0
289,4,0.0,0.0,29.75,11.0,24.0,2.0,3.0
290,3,0.0,0.0,29.26,4.0,69.0,2.0,2.0
291,2,0.0,0.0,28.81,3.0,179.0,6.0,0.0
292,1,0.0,0.0,28.54,2.0,214.0,12.0,0.0
293,7,0.0,0.0,28.24,1.0,117.0,24.0,4.0
294,11,0.0,0.0,28.19,7.0,66.0,69.0,9.0
295,4,0.0,0.0,28.41,11.0,49.0,179.0,2.0
296,2,0.0,0.0,28.96,4.0,11.0,214.0,0.0
297,1,0.0,0.0,31.67,2.0,4.0,117.0,2.0
298,3,0.0,0.0,33.92,1.0,3.0,66.0,7.0
299,4,0.0,0.0,36.49,3.0,2.0,49.0,11.0
300,5,0.0,0.0,37.52,4.0,1.0,11.0,3.0
301,8,0.0,0.0,37.52,5.0,7.0,4.0,2.0
302,14,0.0,0.0,38.24,8.0,11.0,3.0,2.0
303,12,0.0,0.0,38.35,14.0,4.0,2.0,6.0
304,11,0.0,0.0,38.73,12.0,2.0,1.0,12.0
305,25,0.0,0.0,37.86,11.0,1.0,7.0,24.0
306,26,0.0,0.0,36.8,25.0,3.0,11.0,69.0
307,65,0.0,0.0,35.01,26.0,4.0,4.0,179.0
308,78,0.0,0.0,33.86,65.0,5.0,2.0,214.0
309,23,0.0,0.0,32.55,78.0,8.0,1.0,117.0
310,24,0.0,0.0,31.61,23.0,14.0,3.0,66.0
311,10,0.0,0.0,31.14,24.0,12.0,4.0,49.0
312,4,0.0,0.0,30.49,10.0,11.0,5.0,11.0
313,2,0.0,0.0,29.97,4.0,25.0,8.0,4.0
314,8,0.0,0.0,29.69,2.0,26.0,14.0,3.0
315,2,0.0,0.0,29.53,8.0,65.0,12.0,2.0
316,0,0.0,0.0,29.34,2.0,78.0,11.0,1.0
317,0,0.0,0.0,28.84,0.0,23.0,25.0,7.0
318,2,0.0,0.0,28.7,0.0,24.0,26.0,11.0
319,1,0.0,0.0,28.81,2.0,10.0,65.0,4.0
320,3,0.0,0.0,31.26,1.0,4.0,78.0,2.0
321,1,0.0,0.0,33.48,3.0,2.0,23.0,1.0
322,4,0.0,0.0,36.17,1.0,8.0,24.0,3.0
323,3,0.0,0.0,38.13,4.0,2.0,10.0,4.0
324,8,0.0,0.0,38.36,3.0,0.0,4.0,5.0
325,15,0.0,0.0,39.2,8.0,0.0,2.0,8.0
326,15,0.0,0.0,39.31,15.0,2.0,8.0,14.0
327,17,0.0,0.0,40.13,15.0,1.0,2.0,12.0
328,21,0.0,0.0,40.33,17.0,3.0,0.0,11.0
329,28,0.0,0.0,39.51,21.0,1.0,0.0,25.0
330,28,0.0,0.0,37.81,28.0,4.0,2.0,26.0
331,50,0.0,0.0,35.87,28.0,3.0,1.0,65.0
332,50,0.0,0.0,34.48,50.0,8.0,3.0,78.0
333,48,0.0,0.0,33.11,50.0,15.0,1.0,23.0
334,16,0.0,0.0,32.32,48.0,15.0,4.0,24.0
335,26,0.0,0.0,31.74,16.0,17.0,3.0,10.0
336,14,0.0,0.0,31.17,26.0,21.0,8.0,4.0
337,8,0.0,0.0,30.64,14.0,28.0,15.0,2.0
338,1,0.0,0.0,30.54,8.0,28.0,15.0,8.0
339,0,0.0,0.0,30.15,1.0,50.0,17.0,2.0
340,0,0.0,0.0,29.67,0.0,50.0,21.0,0.0
341,2,0.0,0.0,29.58,0.0,48.0,28.0,0.0
342,3,0.0,0.0,29.69,2.0,16.0,28.0,2.0
343,1,0.0,0.0,30.04,3.0,26.0,50.0,1.0
344,1,0.0,0.0,32.32,1.0,14.0,50.0,3.0
345,5,0.0,0.0,34.81,1.0,8.0,48.0,1.0
346,21,0.0,0.0,35.78,5.0,1.0,16.0,4.0
347,12,0.0,0.0,37.52,21.0,0.0,26.0,3.0
348,4,0.0,0.0,38.65,12.0,0.0,14.0,8.0
349,11,0.0,0.0,39.47,4.0,2.0,8.0,15.0
350,9,0.0,0.0,39.98,11.0,3.0,1.0,15.0
351,10,0.0,0.0,40.76,9.0,1.0,0.0,17.0
352,11,0.0,0.0,38.75,10.0,1.0,0.0,21.0
353,16,0.0,0.0,38.98,11.0,5.0,2.0,28.0
354,48,0.0,0.0,36.0,16.0,21.0,3.0,28.0
