,y,rain_intensity,rain_accumulation,temperature,lag_1,lag_8,lag_12,lag_24
665,47,0.0,0.0,43.04,34.0,25.0,1.0,42.0
666,48,0.0,0.0,41.16,47.0,49.0,6.0,45.0
667,57,0.0,0.0,39.36,48.0,36.0,10.0,45.0
668,60,0.0,0.0,35.64,57.0,55.0,9.0,59.0
669,81,0.0,0.0,34.15,60.0,34.0,25.0,80.0
670,69,0.0,0.0,33.3,81.0,42.0,49.0,96.0
671,46,0.0,0.0,32.76,69.0,37.0,36.0,43.0
672,47,0.0,0.0,32.55,46.0,34.0,55.0,38.0
673,52,0.0,0.0,32.79,47.0,47.0,34.0,49.0
674,17,0.0,0.0,32.89,52.0,48.0,42.0,9.0
675,2,0.0,0.0,31.71,17.0,57.0,37.0,5.0
676,1,0.0,0.0,30.96,2.0,60.0,34.0,5.0
677,3,0.0,0.0,30.76,1.0,81.0,47.0,1.0
678,6,0.0,0.0,31.03,3.0,69.0,48.0,6.0
679,3,0.0,0.0,31.59,6.0,46.0,57.0,10.0
680,18,0.0,0.0,34.03,3.0,47.0,60.0,9.0
681,66,0.0,0.0,35.9,18.0,52.0,81.0,25.0
682,99,0.0,0.0,37.83,66.0,17.0,69.0,49.0
683,97,0.0,0.0,39.28,99.0,2.0,46.0,36.0
684,92,0.0,0.0,41.14,97.0,1.0,47.0,55.0
685,65,0.0,0.0,41.98,92.0,3.0,52.0,34.0
686,35,0.0,0.0,43.13,65.0,6.0,17.0,42.0
687,28,0.0,0.0,43.8,35.0,3.0,2.0,37.0
688,22,0.0,0.0,44.28,28.0,18.0,1.0,34.0
689,37,0.0,0.0,43.73,22.0,66.0,3.0,47.0
690,25,0.0,0.0,41.91,37.0,99.0,6.0,48.0
691,39,0.0,0.0,39.1,25.0,97.0,3.0,57.0
692,39,0.0,0.0,36.51,39.0,92.0,18.0,60.0
693,57,0.0,0.0,34.84,39.0,65.0,66.0,81.0
694,58,0.0,0.0,33.57,57.0,35.0,99.0,69.0
695,20,0.0,0.0,33.26,58.0,28.0,97.0,46.0
696,39,0.0,0.0,33.03,20.0,22.0,92.0,47.0
697,16,0.0,0.0,33.06,39.0,37.0,65.0,52.0
698,4,0.0,0.0,32.8,16.0,25.0,35.0,17.0
699,2,0.0,0.0,32.23,4.0,39.0,28.0,2.0
