,y,rain_intensity,rain_accumulation,temperature,lag_1,lag_8,lag_12,lag_24
1148,869,0.0,0.4,30.7,977.0,675.0,112.0,996.0
1149,706,0.0,0.4,28.86,869.0,625.0,267.0,780.0
1150,559,0.0,0.4,29.16,706.0,606.0,484.0,599.0
1151,344,0.0,0.6,29.25,559.0,701.0,558.0,325.0
1152,182,0.0,0.6,30.14,344.0,575.0,675.0,229.0
1153,88,0.0,0.0,30.62,182.0,760.0,625.0,94.0
1154,39,0.0,0.0,30.64,88.0,885.0,606.0,37.0
1155,25,0.0,0.0,30.51,39.0,977.0,701.0,27.0
1156,27,0.0,0.0,30.7,25.0,869.0,575.0,31.0
1157,50,0.0,0.0,30.72,27.0,706.0,760.0,72.0
1158,60,0.0,0.0,30.79,50.0,559.0,885.0,70.0
1159,62,0.0,0.0,30.94,60.0,344.0,977.0,83.0
1160,87,0.0,0.0,31.37,62.0,182.0,869.0,112.0
1161,140,0.0,0.0,33.24,87.0,88.0,706.0,267.0
1162,192,0.0,0.0,33.36,140.0,39.0,559.0,484.0
1163,298,0.0,0.0,33.64,192.0,25.0,344.0,558.0
1164,340,0.0,0.0,35.37,298.0,27.0,182.0,675.0
1165,482,0.0,0.0,36.55,340.0,50.0,88.0,625.0
1166,448,0.0,0.0,37.73,482.0,60.0,39.0,606.0
1167,425,0.0,0.0,39.14,448.0,62.0,25.0,701.0
1168,466,0.0,0.0,38.75,425.0,87.0,27.0,575.0
1169,579,0.0,0.0,37.24,466.0,140.0,50.0,760.0
1170,709,0.0,0.0,36.44,579.0,192.0,60.0,885.0
1171,847,0.0,0.0,34.93,709.0,298.0,62.0,977.0
1172,903,0.0,0.0,33.44,847.0,340.0,87.0,869.0
1173,673,0.0,0.0,32.69,903.0,482.0,140.0,706.0
1174,653,0.0,0.0,31.55,673.0,448.0,192.0,559.0
1175,444,0.0,0.0,30.87,653.0,425.0,298.0,344.0
1176,215,0.0,0.0,30.48,444.0,466.0,340.0,182.0
1177,89,0.0,0.0,30.28,215.0,579.0,482.0,88.0
1178,41,0.0,0.0,30.46,89.0,709.0,448.0,39.0
1179,19,0.0,0.0,30.49,41.0,847.0,425.0,25.0
1180,30,0.0,0.0,30.07,19.0,903.0,466.0,27.0
1181,54,0.0,0.0,30.34,30.0,673.0,579.0,50.0
1182,79,0.0,0.0,30.33,54.0,653.0,709.0,60.0
1183,91,0.0,0.0,30.97,79.0,444.0,847.0,62.0
1184,105,0.0,0.0,31.47,91.0,215.0,903.0,87.0
1185,340,0.0,0.0,32.95,105.0,89.0,673.0,140.0
1186,723,0.0,0.0,34.4,340.0,41.0,653.0,192.0
1187,749,0.0,0.0,36.22,723.0,19.0,444.0,298.0
1188,749,0.0,0.0,37.02,749.0,30.0,215.0,340.0
1189,608,0.2,1.8,28.84,749.0,54.0,89.0,482.0
1190,417,0.0,5.0,26.47,608.0,79.0,41.0,448.0
1191,350,0.0,5.0,29.27,417.0,91.0,19.0,425.0
1192,329,0.0,5.0,30.57,350.0,105.0,30.0,466.0
1193,566,0.0,5.0,28.67,329.0,340.0,54.0,579.0
1194,514,0.0,5.8,28.3,566.0,723.0,79.0,709.0
1195,601,0.0,6.4,27.85,514.0,749.0,91.0,847.0
1196,552,0.0,6.4,27.29,601.0,749.0,105.0,903.0
1197,370,0.0,6.4,27.33,552.0,608.0,340.0,673.0
1198,300,0.0,6.4,27.27,370.0,417.0,723.0,653.0
